Artist,Song
Mighty Mighty Bosstones,The Impression That I Get
Wet Wet Wet,Love Is All Around
D:ream,Things Can Only Get Better
Reef,Place Your Hands
Paula Cole,I Don't Want To Wait
Robbie Williams,She's The One
Jennifer Lopez,Waiting For Tonight
Nirvana,About A Girl (Unplugged)
White Town,Your Woman
Crowded House,Distant Sun
Oasis,Don't Look Back In Anger
Faith Hill,This Kiss
No Mercy,Where Do You Go
Everlast,What It's Like
Faith No More,Easy
Des'ree,Life
Hootie & The Blowfish,Hold My Hand
Spice Girls,Who Do You Think You Are
Shawn Colvin,Sunny Came Home
Five,If Ya Gettin' Down
Chemical Brothers,"Hey Boy, Hey Girl"
Shawn Mullins,Lullaby
Michael Jackson,Remember The Time
Lenny Kravitz,Fly Away
Aqua,Turn Back Time
Four Seasons,"December 1963 (Oh, What A Night)"
Celine Dion,The Power Of Love
Stellar,Violent
Blink-182,All The Small Things
Len,Steal My Sunshine
Macy Gray,I Try
Tal Bachman,She's So High
Savage Garden,I Want You
Shakespears Sister,I Don't Care
Arrested Development,People Everyday
Santana [+] Rob Thomas,Smooth
Bryan Adams,Thought I'd Died And Gone To Heaven
Toad The Wet Sprocket,Walk On The Ocean
Queensryche,Silent Lucidity
Prince,The Most Beautiful Girl in the World
No Doubt,Don't Speak
Inner Circle,Games People Play
Scorpions,Wind Of Change
Cut 'N' Move,Give It Up
Ugly Kid Joe,Cats In The Cradle
David Gray,Babylon
Matchbox 20,Push
Annie Lennox,Walking On Broken Glass
The Lightning Seeds,Life Of Riley
Jimi Jamison,I'm Always Here
Dishwalla,Counting Blue Cars
Diana King,Shy Guy
Robbie Williams,Strong
Stereo MCs,Connected
Smash Mouth,All Star
George Michael [+] Queen,Somebody To Love
Dreamworld,Movin' Up
Diesel,Tip Of My Tongue
Sublime,Santeria
Travis,Why Does It Always Rain On Me?
Sheryl Crow,Strong Enough
The Exponents,Who Loves Who The Most
Big Audio Dynamite,The Globe
U2,Mysterious Ways
Cranberries,Dreams
Red Hot Chili Peppers,Scar Tissue
Scarlet,Independent Love Song
R.E.M.,Man On The Moon
Blessed Union of Souls,Hey Leonardo (She Likes Me For Me)
Donna Lewis,I Love You Always Forever
Zed,Glorafilia
Everything But The Girl,Missing
Barenaked Ladies,One Week
Backstreet Boys,I Want It That Way
The Wallflowers,One Headlight
Tasmin Archer,Sleeping Satellite
Skunk Anansie,Hedonism
Alanis Morissette,Head Over Feet
Blur,Song 2
Roachford,Lay Your Love On Me
Lenny Kravitz,Believe
Eternal [+] Bebe Winans,I Wanna Be The Only One
Black Crowes,Hard To Handle
Big Mountain,"Baby, I Love Your Way"
Bon Jovi,Keep The Faith
Ace of Base,Don't Turn Around
Bodeans,Closer To Free
Roxette,Spending My Time
Green Day,Good Riddance (Time Of Your Life)
La Bouche,Be My Lover
Matchbox 20,Long Day
Christina Aguilera,Come On Over
Letters To Cleo,I Want You To Want Me
Crystal Waters,100% Pure Love
S Club 7,Bring It All Back
Edwyn Collins,A Girl Like You
Lisa Loeb & Nine Stories,Stay
The Commitments,In The Midnight Hour
Merril Bainbridge,Mouth
Real McCoy,Another Night
Tom Petty,Learning To Fly
Spice Girls,Viva Forever
Garbage,Stupid Girl
Sixpence None The Richer,Kiss Me
U2,One
Jennifer Lopez,If You Had My Love
Manic Street Preachers,If You Tolerate This Your Children Will Be Next
Kym Mazelle,Young Hearts Run Free
Supergroove,Sitting Inside My Head
Jewel,You Were Meant For Me
Tina Turner & Jimmy Barnes,Simply The Best
Jimmy Cliff,I Can See Clearly Now
Presidents Of The USA,Video Killed The Radio Star
Boyzone,No Matter What
Nirvana,The Man Who Sold The World
Robbie Williams,No Regrets
Savage Garden,Truly Madly Deeply
Red Hot Chili Peppers,Otherside
M People,Search For The Hero
Madness,It Must Be Love
C&C Music Factory,Gonna Make You Sweat
Pearl Jam,Last Kiss
Michael Jackson,They Don't Care About Us
Enigma,Sadness Part 1
