Artist,Song
Tinariwen,Matadjem Yinmixan
Deerhoof,Milk Man
Jason Forrest,10 Amazing Years
Japandroids,Young Hearts Spark Fire
Cat Power,I Found a Reason
Young Jeezy feat. Jay-Z,Go Crazy (Remix)
Boards of Canada,In a Beautiful Place Out in the Country
Smog,Rock Bottom Riser
Sigur Rós,Vaka (Untitled 1)
Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth
Elliott Smith,Everything Reminds Me of Her
Gwen Stefani,What You Waiting For (Thin White Duke Remix)
Matthew Dear,Dog Days
Frightened Rabbit,The Modern Leper
Together,So Much Love to Give
Primal Scream,Swastika Eyes
Lumidee,"I’ll Never Leave You (Uh Oooh, Uh Oooh)"
Cam’ron feat. Sarah Hindes,Get ‘Em Girls
Camera Obscura,French Navy
Cannibal Ox,The F-Word
The Pains of Being Pure at Heart,Young Adult Friction
Röyksopp,What Else Is There?
El-P,Stepfather Factory
Soulwax,NY Excuse
Blur,Out of Time
Goldfrapp,Strict Machine
Rex the Dog,I Look Into Mid-Air
Crime Mob,Knuck If You Buck
The Microphones,The Moon (Song Islands Version)
Girls,Hellhole Ratrace
Boards of Canada,Music Is Math
Four Tet,My Angel Rocks Back and Forth
Konono No. 1,Paradiso
Cortney Tidwell,Don’t Let the Stars Keep Us Tangled Up (Ewan’s Objects in Space Remix)
Sigur Rós,Hoppípolla
Junior Boys,High Come Down
The Long Blondes,Once and Never Again
King Khan and the Shrines,Welfare Bread
B15 Project,Girls Like Us
Lightning Bolt,Dracula Mountain
The Streets,Blinded by the Lights
Death From Above 1979,Romantic Rights
Nathan Fake,The Sky Was Pink (James Holden Remix)
Queens of the Stone Age,The Lost Art of Keeping a Secret
The Chemical Brothers,Star Guitar
Amy Winehouse,Tears Dry on Their Own
Boris,Ibitsu
The Walkmen,In the New Year
My Morning Jacket,Off the Record
Freeway ft. Peedi Crakk,Flipside
Dinosaur Jr.,Almost Ready
Superpitcher,Tomorrow
Nine Inch Nails,The Hand That Feeds
Girls on Top,We Don’t Give a Damn About Our Friends
Magik Markers,Taste
Sunn O))),It Took the Night to Believe
Women,Black Rice
Wilco,Handshake Drugs
Scritti Politti,The Boom Boom Bap
Nick Cave and the Bad Seeds,"There She Goes, My Beautiful World"
Simian Mobile Disco,It’s the Beat (12″ Version)
Alicia Keys,You Don’t Know My Name (Reggae Remix)
Jens Lekman,The Opposite of Hallelujah
High Places,From Stardust to Sentinence
Ce’cile,Hot Like We
Klaxons,Golden Skans
TM Schneider,The Light 3000
Lambchop,Up with People!
Santogold,Lights Out
The Delgados,All You Need Is Hate
Turbulence,Notorious
Björk,New World
Bob Dylan,Mississippi
Patrick Wolf,The Magic Position
Yo La Tengo,Last Days of Disco
Gossip,Standing in the Way of Control
Mastodon,Sleeping Giant
Death Cab for Cutie,The New Year
Sugababes,Overload
"DJ Khaled feat. T.I., Akon, Rick Ross, Fat Joe, Birdman, Lil Wayne",We Takin’ Over
Madonna,Don’t Tell Me
Golden Boy with Miss Kittin,Rippin Kittin
Devendra Banhart,A Sight to Behold
Shackleton,Blood on My Hands
Lady Sovereign,"Ch-Ching (Cheque 1, 2 Remix)"
Beirut,Elephant Gun
The Libertines,Time for Heroes
Sufjan Stevens,"For the Widows in Paradise, For the Fathers in Ypsilanti"
Menomena,Wet and Rusting
Explosions in the Sky,First Breath After Coma
be your own PET,Adventure
Ricardo Villalobos,Que Belle Epoque
M. Ward,Chinese Translation
Mylo,In My Arms
Lil’ Kim ft. Mr. Cheeks,The Jump Off
Jackson and His Computer Band,Utopia
My Morning Jacket,Golden
Scissor Sisters,Mary
Jay Reatard,Always Wanting More
Fucked Up,Crusades
Songs: Ohia,Didn’t It Rain
Bonnie « Prince » Billy,Wolf Among Wolves
Doves,Black and White Town
Emily Haines & The Soft Skeleton,Doctor Blind
Sleater-Kinney,Far Away
The Honeydrips,Fall from a Height (The Field Way)
Vivian Girls,Where Do You Run?
Scarface,On My Block
Sun Kil Moon,Carry Me Ohio
Black Kids,I’m Not Gonna Teach Your Boyfriend How to Dance With You (EP Version)
Voxtrot,The Start of Something
Cee-Lo ft. Timbaland,I’ll Be Around
Saint Etienne,How We Used to Live
RJD2,Let the Good Times Roll Pt.2
The Strokes,What Ever Happened?
DJ Shadow,You Can’t Go Home Again
Orchestra Baobab,Bul Ma Miin
Crystal Castles,Alice Practice
Comets on Fire,Wild Whiskey
The Concretes,You Can’t Hurry Love
Wolf Eyes,Human Animal
Kid Cudi vs. Crookers,Day ‘N Night (Remix)
Ward 21,Petrol
The Dodos,Fools
Pantha Du Prince,Asha
Brightblack Morning Light,Everybody Daylight
Darkstar,Need You
The Roots,Don’t Feel Right
Nick Cave and the Bad Seeds,As I Sat Sadly by her Side
Ali Farke Touré,Yer Bounda Fara
Spiller ft. Sophie Ellis-Bextor,Groovejet (This Ain’t Love)
Jaylib,The Red
Jesu,Silver
Kano,Reload It
Closer Musik,Departures
Viktor Vaughn,Saliva
St. Vincent,The Strangers
Goldfrapp,Lovely Head
Blonde Redhead,Equus
Weezer,Island in the Sun
Akufen,Deck the House (Herbert’s Stop Like This Mix)
Woods,Rain On
Unwound,Scarlette
N*E*R*D,Run to the Sun (Electronic Version)
The Big Pink,Velvet
